Id,Name,Add,Zipcode,Tel,Website,Px,Py,Class,Spec,Serviceinfo,Parkinginfo,TotalNumberofRooms,LowestPrice,CeilingPrice,IndustryEmail
C4_315080000H_000111,清福村民宿,南投縣國姓鄉柑林村昌榮巷97之2號,544,886-49-2724677,,120.845536,24.010666,4,,,車位:小客車0輛、機車0輛、大客車0輛,5,2500,2500,
C4_315080000H_000113,賞鯨泛舟民宿,花蓮縣花蓮市國興里建華路89巷1號,970,886-958-466556,,121.578784,23.994771,4,,,車位:小客車0輛、機車0輛、大客車0輛,5,3600,6000,
C4_315080000H_000115,君鈦商務飯店,臺中市北屯區大連路1段278,406,886-4-22968600,,120.680125,24.176321,3,,,車位:小客車20輛、機車0輛、大客車0輛,74,2600,8000,esqhtl@yahoo.com.tw
C4_315080000H_000118,默默旅宿,臺中市后里區安眉路116巷105號,421,886-980-168517,,120.698889,24.321454,4,,,車位:小客車0輛、機車0輛、大客車0輛,5,4200,5800,momo.travel2015@gmail.com
C4_315080000H_000121,清境家園景觀山莊(特色民宿),南投縣仁愛鄉大同村仁和路206-2號,546,886-49-2803293,,121.168749,24.065962,4,,,車位:小客車0輛、機車0輛、大客車0輛,10,4000,7500,twcose@hotmail.com
C4_315080000H_000122,微笑橘子民宿,宜蘭縣冬山鄉群英村珍珠一路73號,269,886-3-9601746  0921-098589,https://booking.owlting.com/smileorange,121.783367,24.654146,4,,,車位:小客車0輛、機車0輛、大客車0輛,5,1000,3600,happy0921098589@gmail.com
C4_315080000H_000126,南科贊美酒店,臺南市善化區成功路252號,741,886-6-5838383,http://www.larchotel.com.tw,120.310239,23.129843,3,雙人房5800;雙人房4500;雙人房3500;雙人房3700;其他3700;雙人房2500;雙人房(無障礙客房)5600;,"餐廳,會議場所,酒吧,宴會廳,健身房,游泳池,有線網路,無線網路,國民旅遊卡,停車場,無障礙客房,自助洗衣(收費),上網電腦(免費),,,,兒童遊樂設施,洗衣服務,郵電服務,商務旅遊中心,貴重物品保管專櫃,室內遊樂設施,接送服務,自行車租借,行動支付,導覽解說,體驗活動,哺乳室,AED,,",車位:小客車50輛、機車0輛、大客車0輛,174,5600,13600,larchotel@gmail.com
C4_315080000H_000127,塔羅之昕民宿,臺東縣臺東市中正路173號,950,886-938-253698,,121.155077,22.754338,4,,,車位:小客車0輛、機車0輛、大客車0輛,3,3200,3200,jassenli.jl@gmail.com
C4_315080000H_000128,喬爵旅居,桃園市中壢區延平路216號,320,886-3-4622345,https://www.hubhotel.com.tw,121.227397,24.962231,3,,,車位:小客車25輛、機車15輛、大客車0輛,63,2400,8000,hubhotel.service@gmail.com
C4_315080000H_000131,月光莊園民宿,臺東縣臺東市南王里20鄰更生北路731巷126號,950,886-980-439179,,121.111594,22.783149,4,,,車位:小客車0輛、機車0輛、大客車0輛,5,3600,5800,moonlight731126@gmail.com
C4_315080000H_000132,怡和飯店,桃園市桃園區民富九街96號1-7樓,330,886-3-3555999,http://www.hotelehome.com,121.313163,25.008168,3,,"會議場所,無線網路,國民旅遊卡,停車場,無障礙客房,自助洗衣(收費),上網電腦(免費),,,,",車位:小客車10輛、機車0輛、大客車0輛,78,2000,10000,e-home168@hotmail.com
C4_315080000H_000133,萬金龍民宿,新北市萬里區萬里加投45之6號,207,886-2-24986166,,121.639402,25.210825,4,,,車位:小客車20輛、機車0輛、大客車0輛,5,3600,3600,
C4_315080000H_000134,杉林溪大飯店,南投縣竹山鎮大鞍里溪山路20號,557,886-49-2611211,https://www.goto307.com.tw,120.790745,23.636537,3,其他(無障礙客房)0;,"餐廳,會議場所,咖啡廳,商店,無線網路,國民旅遊卡,停車場,高齡房,,,導覽解說,",車位:小客車500輛、機車100輛、大客車30輛,136,8800,20000,sun.ls@msa.hinte.net
C4_315080000H_000137,美堤時尚旅店,桃園市中壢區健行路7號,320,886-3-4282929,,121.224051,24.952676,3,,,車位:小客車10輛、機車20輛、大客車0輛,37,2400,2400,funfashionhotel@gmail.com
C4_315080000H_000138,植光花園酒店,臺中市中區光復路50、52號2~6樓,400,886-4-22230880,,120.68123,24.141939,3,,,車位:小客車0輛、機車0輛、大客車0輛,45,12000,18000,hi@sofhotel.com.tw
C4_315080000H_000139,東港小鎮旅遊民宿,屏東縣東港鎮長春一路5號,928,886-8-8333557,,120.45778,22.47309,4,,,車位:小客車0輛、機車0輛、大客車0輛,2,3000,4000,
C4_315080000H_000140,純舍民宿,花蓮縣吉安鄉東昌村22鄰東海十五街80巷19弄48號,973,886-975-890512,http://www.gopurehouse.com,121.594992,23.962329,4,其他5500;其他5500;雙人房3800;雙人房3800;,"餐廳,無線網路,國民旅遊卡,停車場,,,,導覽解說,,",車位:小客車0輛、機車0輛、大客車0輛,5,2600,6000,purehouse.tw@gmail.com
C4_315080000H_000146,童心園民宿,宜蘭縣員山鄉八甲路22-21號,264,886-936-200-517  03-9229209,,121.702401,24.723014,4,,,車位:小客車0輛、機車0輛、大客車0輛,5,4000,8000,melodychi07@gmail.com
C4_315080000H_000147,星光流域,新竹縣橫山鄉內灣村146號,312,"886-3-5849433,5849110",,121.182731,24.70644,4,,,車位:小客車0輛、機車0輛、大客車0輛,5,1600,2000,bogi311@yahoo.com.tw
C4_315080000H_000148,湖漾１８９,宜蘭縣冬山鄉梅湖路189號,269,886-958-059569,https://twstay.com/RWD1/index.aspx?BNB=lakeshining189,121.730325,24.650191,4,,"有線網路,無線網路,停車場,,,,兒童遊樂設施,室內遊樂設施,,",車位:小客車0輛、機車0輛、大客車0輛,4,4500,6000,lakeshining0958059569@yahoo.com.tw
C4_315080000H_000154,優遊真綻民宿,宜蘭縣羅東鎮新群里新群五路58號,265,886-912-590689,http://www.yoyolife.com.tw/,121.797411,24.674263,4,套房3000;套房3600;套房4800;套房3600;套房3600;套房3000;套房3000;,"無線網路,停車場,,,,接送服務,自行車租借,,",車位:小客車2輛、機車2輛、大客車0輛,5,3000,4800,G0912590689@gmail.com
C4_315080000H_000155,瑪拉松民宿,臺東縣臺東市知本路三段398巷27號,950,886-988-327269,,121.047917,22.708124,4,雙人房5500;雙人房4500;雙人房5500;雙人房4500;,"餐廳,有線網路,無線網路,國民旅遊卡,停車場,,,洗衣服務,",車位:小客車2輛、機車6輛、大客車1輛,4,4500,5500,EMMA0988327269@gmail.com
C4_315080000H_000157,Jophina旅店,屏東縣東港鎮興中南六街3號,928,886-909-978317,,120.465089,22.474765,4,其他5500;,,車位:小客車0輛、機車0輛、大客車0輛,4,7000,15000,shuchen1@live.com
C4_315080000H_000160,東方大旅社,高雄市湖內區湖內里民生街26號,829,886-7-6932047,,120.250754,22.87841,3,,,車位:小客車0輛、機車0輛、大客車0輛,8,500,500,
C4_315080000H_000164,真欣渡假飯店,宜蘭縣五結鄉協和里公園路98巷17、19號,268,886-3-9600899,,121.813733,24.679621,3,,,車位:小客車0輛、機車0輛、大客車0輛,10,1820,1820,
C4_315080000H_000165,艾蜜麗庭園別墅,臺東縣臺東市志航路1段412巷30號,950,886-89-357643,http://emaly.travel123.tw/index.htm,121.131773,22.787153,4,,,車位:小客車0輛、機車0輛、大客車0輛,5,1500,3500,emily.house.41230@gmail.com
C4_315080000H_000166,愛和華落羽香榭民宿,花蓮縣壽豐鄉志學村忠孝143號,974,886-911-126049,,121.537996,23.975884,4,,"餐廳,咖啡廳,無線網路,,,,",車位:小客車0輛、機車0輛、大客車0輛,5,2450,8000,
C4_315080000H_000167,金毛屋,臺南市安平區漁光路119巷1號,708,886-6-3912113,http://www.maowu.tw,120.158998,22.976943,4,,,車位:小客車8輛、機車10輛、大客車0輛,5,9000,10000,maowu@maowu.tw
C4_315080000H_000168,美儷閣汽車旅館,嘉義縣朴子市祥和三路西段1號,613,886-5-3628099,,120.287351,23.455725,3,,,車位:小客車0輛、機車0輛、大客車0輛,61,3900,6000,
C4_315080000H_000169,靈感民宿,宜蘭縣羅東鎮羅莊北街29號,265,886-919-350197,,121.780938,24.671914,4,,,車位:小客車2輛、機車4輛、大客車0輛,4,500,6500,hachang07@gmail.com
C4_315080000H_000170,東金民宿,臺東縣太麻里鄉金崙村金崙54號,963,886-89-772009,,120.961702,22.534239,4,,,車位:小客車0輛、機車3輛、大客車0輛,4,3280,6280,
C4_315080000H_000171,老爺大酒店,臺北市中山區中山北路2段37之1號,104,886-2-25423266,http://www.royal-taipei.com.tw,121.522847,25.053969,1,雙人房(無障礙客房)9800;套房38000;雙人房9800;套房58000;套房23000;套房30000;雙人房14800;雙人房12800;,"餐廳,會議場所,咖啡廳,酒吧,宴會廳,健身房,商店,有線網路,無線網路,iTaiwan,國民旅遊卡,停車場,無障礙客房,上網電腦(免費),,,,洗衣服務,商務旅遊中心,貴重物品保管專櫃,行動支付,穆斯林餐廳,哺乳室,AED,外幣兌換,,",車位:小客車44輛、機車0輛、大客車0輛,202,8800,58000,service@royal-taipei.com.tw
C4_315080000H_000173,灣橋山林會館民宿,嘉義縣竹崎鄉灣橋村16鄰灣橋184巷2之1號,604,886-928-163239,,120.505287,23.491113,4,雙人房3800;雙人房3800;雙人房3800;雙人房3800;其他3600;,"餐廳,會議場所,有線網路,無線網路,停車場,,,,接送服務,導覽解說,體驗活動,,",車位:小客車0輛、機車0輛、大客車0輛,5,3600,3800,
C4_315080000H_000176,神旺大飯店,臺北市大安區忠孝東路4段172號,106,886-2-2772-2121,http://www.sanwant.com,121.550854,25.041305,1,單人房8800;套房16800;單人房(無障礙客房)7000;雙人房6800;單人房6000;,"餐廳,會議場所,酒吧,宴會廳,無線網路,停車場,,,洗衣服務,商務旅遊中心,外幣兌換,",車位:小客車89輛、機車0輛、大客車0輛,268,6000,16800,hr@sanwant.com
C4_315080000H_000177,雀屏山莊,臺東縣卑南鄉溫泉村龍泉路113巷25號,954,886-89-322591,,121.007487,22.689915,4,,"無線網路,國民旅遊卡,,",車位:小客車0輛、機車0輛、大客車0輛,4,2000,3500,Cy.ling@msa.hinet.net
C4_315080000H_000179,消防情民宿,臺東縣池上鄉福原村文田路108號,958,886-89-861930,,121.21448,23.12613,4,,"無線網路,iTaiwan,國民旅遊卡,停車場,自助洗衣(免費),,,,洗衣服務,接送服務,自行車租借,,",車位:小客車1輛、機車2輛、大客車0輛,3,1500,4200,sheng54918@gmail.com
C4_315080000H_000181,東糖29民宿,臺東縣臺東市光明里東糖街29號,950,886-89-226662,,121.129975,22.766566,4,,"無線網路,停車場,,,接送服務,",車位:小客車0輛、機車0輛、大客車0輛,3,3200,4800,
C4_315080000H_000183,太魯閣晶英酒店,花蓮縣秀林鄉富世村天祥路18號,972,886-3-8691-155,,121.494214,24.182126,1,雙人房(無障礙客房)15000;套房60000;套房40000;套房42000;套房35000;套房45000;雙人房18000;雙人房15000;套房100000;套房25000;,"餐廳,會議場所,咖啡廳,酒吧,宴會廳,健身房,商店,游泳池,有線網路,無線網路,國民旅遊卡,停車場,,,兒童遊樂設施,洗衣服務,商務旅遊中心,貴重物品保管專櫃,室內遊樂設施,接送服務,自行車租借,外幣兌換,導覽解說,體驗活動,",車位:小客車66輛、機車0輛、大客車4輛,160,10000,100000,rsvn@silksplace-taroko.com.tw
C4_315080000H_000186,田野居,宜蘭縣壯圍鄉美福村中興六路157號,263,886-936-194806  03-9252806,http://www.countryside157.com,121.776966,24.724991,4,,"無線網路,國民旅遊卡,停車場,高齡房,無障礙客房,自助洗衣(免費),,,,接送服務,寵物友善旅宿,,",車位:小客車4輛、機車4輛、大客車0輛,5,2800,2990,countryside157@gmail.com
C4_315080000H_000187,燕梅民宿,臺東縣池上鄉福原村忠孝路346號,958,886-89-863126,,121.222018,23.124683,4,,,車位:小客車5輛、機車0輛、大客車0輛,5,1200,1800,
C4_315080000H_000188,力歐時尚旅館西門館,"臺北市萬華區康定路25巷36弄4,6號2-4樓",108,886-2-23889855,,121.504065,25.043652,3,,,車位:小客車0輛、機車0輛、大客車0輛,17,800,3000,
C4_315080000H_000190,碧雲天渡假村,連江縣北竿鄉塘岐村255號,210,886-836-55461,http://hotel.matsu.idv.tw/bluesky/,119.997569,26.225115,4,,,車位:小客車0輛、機車0輛、大客車0輛,8,3000,5500,yes55461@yahoo.com.tw
C4_315080000H_000192,藝遊未境旅宿,屏東縣恆春鎮恆西路33巷105弄6號,946,886-916-919117,,120.742257,22.000223,4,,,車位:小客車0輛、機車0輛、大客車0輛,2,3600,3600,meiyen4789@gmail.com
C4_315080000H_000193,慧來農莊民宿,南投縣埔里鎮桃米里桃米巷2-1號,545,886-49-2918778,,120.943378,23.939156,4,雙人房2200;套房3200;套房5800;,"停車場,餐廳,有線網路,,,導覽解說,",車位:小客車0輛、機車0輛、大客車0輛,5,2500,8000,a0492918778@hotmail.com
C4_315080000H_000198,夏樂民宿,屏東縣恆春鎮恆西路33巷123弄8號,946,886-900-632096,,120.742355,21.999951,4,,,車位:小客車0輛、機車0輛、大客車0輛,5,3200,4500,
C4_315080000H_000200,六星旅館,桃園市桃園區經國路721號,330,886-3-3467668,https://www.168inn.com.tw/zh-tw/,121.301641,25.024742,3,雙人房4960;雙人房4960;雙人房(無障礙客房)4960;雙人房5360;雙人房4960;雙人房5960;雙人房4960;雙人房4960;,"餐廳,會議場所,咖啡廳,無線網路,停車場,高齡房,,,洗衣服務,",車位:小客車0輛、機車0輛、大客車0輛,61,4960,5960,SS@168inn.com.tw
C4_315080000H_000202,232驛站民宿,花蓮縣鳳林鎮林榮里兆豐路500號,975,886-932-648784,,121.576589,23.967012,4,,,車位:小客車0輛、機車0輛、大客車0輛,2,4500,6000,
C4_315080000H_000203,煙波大飯店-麗池館,新竹市東區明湖路773號1-6樓,300,886-3-5203181,,120.967642,24.775333,3,,,車位:小客車0輛、機車0輛、大客車0輛,66,9900,24200,service@lakshore.com.tw
C4_315080000H_000204,金紫晶民宿,金門縣金寧鄉榜林村榜林206號,892,886-82-311388,,118.33433,24.43654,4,,,車位:小客車0輛、機車0輛、大客車0輛,12,1980,2300,
C4_315080000H_000210,三隻腳民宿,連江縣南竿鄉馬祖村23號,209,886-836-25580,,119.918504,26.159199,4,,,車位:小客車0輛、機車0輛、大客車0輛,5,3200,5600,helmeryang@gmail.com
C4_315080000H_000212,普羅旺斯玫瑰莊園,新竹縣新埔鎮巨埔里4鄰新龍路230巷50號,305,886-3-5890052,http://provence.okgo.tw/disview.html?sid=3229,121.108756,24.837007,4,,,車位:小客車0輛、機車0輛、大客車0輛,4,3600,5600,
C4_315080000H_000213,麥海洋民宿,屏東縣恆春鎮紅柴路2之12號,946,886-929-153717,http://www.myoceanvilla.tw,120.71774,21.980945,4,,,車位:小客車0輛、機車0輛、大客車0輛,5,5800,8800,admin@myoceanvilla.tw
C4_315080000H_000217,享住風格,臺東縣臺東市光明里1鄰中興路二段86巷16號,950,886-921-579196,,121.131177,22.767007,4,,,車位:小客車0輛、機車0輛、大客車0輛,3,5000,5600,myhouse282@gmail.com
C4_315080000H_000219,莊稼熟了參館,臺東縣池上鄉萬安村萬安1之8號,958,886-933-512263,,121.218951,23.096745,4,,,車位:小客車0輛、機車0輛、大客車0輛,2,3200,3200,wei6651@yahoo.com.tw
